Время,Температура на улице (°C),Температура в доме (°C),Температура на терморегуляторе (°C),Заданная температура (°C),Температура кондиционера (°C),Температура теплого пола (°C)
2023-01-01 00:00:00,12.897975581181136,16.1875128908586,49.95749935589352,23.046078880468592,0.0,32.176853644459385
2023-01-01 01:00:00,24.03089960233278,14.137904379008413,0.0,18.282284567387254,0.0,28.93578852466348
2023-01-01 02:00:00,27.74390990756404,12.186331412294518,0.0,23.264162229434056,0.0,40.79932818406346
2023-01-01 03:00:00,11.604925557752722,5.638866125910582,54.96571853190726,18.17808321177206,0.0,40.589759584649066
2023-01-01 04:00:00,5.663890486479666,23.08778959719923,19.86513541213505,19.86513541213505,15.742480298665804,0.0
2023-01-01 05:00:00,9.25854468285435,24.667903327772958,21.008801521854274,21.008801521854274,15.871400482666218,0.0
2023-01-01 06:00:00,-4.838504023323534,14.128126059762744,74.11831651471248,22.511044982353322,0.0,36.986484868135165
2023-01-01 07:00:00,-28.22046787876793,23.891817253618473,23.00881460097332,23.00881460097332,21.440540667625278,0.0
2023-01-01 08:00:00,-28.003715427614694,10.56885880536792,75.22641512474434,18.43062071123151,0.0,35.75285734840667
2023-01-01 09:00:00,-23.209726091909243,13.508451594920064,75.43167213496008,20.484452366770586,0.0,33.43563114210685
2023-01-01 10:00:00,34.31569995671423,16.310439380553692,0.0,21.73024139216704,0.0,30.245260691437068
2023-01-01 11:00:00,19.525387204403316,6.6291440764311975,54.62132569535102,22.107149139781487,0.0,40.085738261742925
2023-01-01 12:00:00,16.19058580747035,10.923098082305799,40.18155022382929,18.921300477590513,0.0,36.77136493842231
2023-01-01 13:00:00,-22.999847000965865,11.093212024617294,74.51909381091168,19.556693891392634,0.0,37.809755487842054
2023-01-01 14:00:00,-9.282851712518962,6.157674921028056,74.54757006981237,23.394777371132548,0.0,38.3846819366648
2023-01-01 15:00:00,18.009107178222017,5.669645365548979,48.37942388375246,19.089525338315966,0.0,39.933254144245915
2023-01-01 16:00:00,12.073977385108634,12.366839439842195,56.01214750248968,22.739845760186085,0.0,40.26211913444463
2023-01-01 17:00:00,-5.635135738117491,10.492915864474703,74.04132697444209,21.46911867563982,0.0,40.265209947974085
2023-01-01 18:00:00,-8.288812297748013,14.557418536777407,74.46995903485623,20.96846158216502,0.0,32.66232689418758
2023-01-01 19:00:00,9.835200546744503,20.335376555461806,20.28991117189173,20.28991117189173,19.682487700121765,0.0
2023-01-01 20:00:00,-3.0965246750185464,8.770869650947846,74.51217857790252,19.658981963319125,0.0,39.72298523374754
2023-01-01 21:00:00,-2.526266142291881,7.996251463146065,73.73928469346168,18.996117004511493,0.0,40.150038946069394
2023-01-01 22:00:00,22.734648418633583,18.614048199140814,31.203822238964165,23.60398408605794,0.0,28.97465832229759
2023-01-01 23:00:00,5.775437788143364,15.22219842325892,46.48384409431912,19.132373247675268,0.0,28.595062512622775
2023-01-02 00:00:00,10.603307904835681,9.872769844024173,59.485097697681816,21.52979012712921,0.0,40.22335569705111
2023-01-02 01:00:00,-7.4350272824415775,19.927474575712615,76.15633641391092,24.48013767937625,0.0,28.88365304355237
2023-01-02 02:00:00,23.942194247129954,16.444159723639665,36.27518619478467,24.65993374732483,0.0,36.303061481081556
2023-01-02 03:00:00,-5.549451828688426,23.53371530966341,21.881998785925138,21.881998785925138,19.086861274848662,0.0
2023-01-02 04:00:00,-3.5950968521967077,12.772707828234157,69.99336565212654,20.051056360614254,0.0,34.59001699641312
2023-01-02 05:00:00,34.883841428049394,14.604334367764245,0.0,19.570335678023795,0.0,30.405754242088463
2023-01-02 06:00:00,8.509280084134126,11.312295003268371,52.76262674591933,19.51161239118278,0.0,37.09881288272052
2023-01-02 07:00:00,33.02288191529321,7.477478539471747,0.0,20.82439805240223,0.0,39.18225484854813
2023-01-02 08:00:00,31.119456534685895,12.76497851053402,0.0,21.928965071259896,0.0,38.17927771417173
2023-01-02 09:00:00,-34.44097722442163,16.428273121655405,75.37676712710918,24.131666052299863,0.0,35.0088139526618
2023-01-02 10:00:00,18.601642665264755,6.326065629625905,62.750627331109946,23.927474415131456,0.0,39.168082626476924
2023-01-02 11:00:00,18.162276415184166,15.97771880816058,46.54713939213743,24.532340923479623,0.0,36.83868683563813
2023-01-02 12:00:00,9.34908063442414,15.266752785884474,49.980841626434234,21.192170356940547,0.0,32.26232954005088
2023-01-02 13:00:00,27.342113748133904,13.391020108931322,0.0,19.943140770053887,0.0,32.986445586479974
2023-01-02 14:00:00,-17.18218858121353,13.321583275740618,75.3527410382143,19.973693805237055,0.0,32.595579184544825
2023-01-02 15:00:00,9.358491786776248,23.023653473373805,45.842435438438145,24.823205255409388,0.0,22.42558526465251
2023-01-02 16:00:00,30.70893290919004,24.981475970163736,0.0,24.64834499686557,0.0,0.0
2023-01-02 17:00:00,-14.59538662121497,21.57244331791145,20.951372340541162,20.951372340541162,20.90932181891888,0.0
2023-01-02 18:00:00,-19.845579593837723,10.779755904972031,74.49687152622553,20.095401592308026,0.0,39.63905244810605
2023-01-02 19:00:00,-1.4034234678413853,22.968615121476308,21.73230752829134,21.73230752829134,20.165621699672414,0.0
2023-01-02 20:00:00,-26.13966726665847,6.685376485290844,74.27567714810775,21.183608153133516,0.0,40.11507142767244
2023-01-02 21:00:00,-7.064549989414807,21.92301781456642,66.75418026942101,22.597655043978687,0.0,21.100435062626758
2023-01-02 22:00:00,-23.010047588593547,11.611030628311871,75.68795986172707,22.60912213412152,0.0,39.85641554837879
2023-01-02 23:00:00,28.149682301189124,10.748140755448045,0.0,21.26372411024437,0.0,39.41142481051502
2023-01-03 00:00:00,24.0246685025949,20.30774041484259,30.82615630815269,24.90503258271945,0.0,28.934969693337415
2023-01-03 01:00:00,-30.00328510987469,10.56972899638179,75.1091418852013,21.724411140494688,0.0,39.389747851038955
2023-01-03 02:00:00,-19.178265466243325,22.434541255789306,74.7156186796604,24.681449431083355,0.0,24.51095792556681
2023-01-03 03:00:00,18.373346378405827,24.890096868332883,20.079377023665756,20.079377023665756,12.186558924546587,0.0
2023-01-03 04:00:00,8.028815838888434,21.394145173874,40.808402158318565,21.57847276773038,0.0,20.712983546268493
2023-01-03 05:00:00,14.998690800690525,16.73813937625693,42.20417985818797,22.29186285967296,0.0,31.52897340341803
2023-01-03 06:00:00,29.372614260849005,11.952332166220023,0.0,18.037672555730165,0.0,31.915411925490435
2023-01-03 07:00:00,-24.790008804255052,24.84203161864453,21.061196448568033,21.061196448568033,15.70451568379515,0.0
